forks,open_issues,commit_count,size,age_days,days_since_push,days_since_update,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,lang_C,lang_C++,lang_Go,lang_Java,lang_JavaScript,lang_Jupyter Notebook,lang_Other,lang_Python,lang_Rust,lang_TypeScript,lang_Unknown,is_org,stars
3.04991308185529,-0.20948183673385248,0.5281099937044881,0.0791659086993978,0.6194725557521158,-0.4681933042256164,-0.10032860224344674,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,1,418253
2.600698027938719,-0.16684856583885935,-0.2161361431105675,-0.1878660845223804,-0.25117663916835503,-0.2745916622301858,-0.10032860224344674,1,0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,1,380944
1.9908703080009906,-0.3398894888832432,-0.20439401325188017,-0.18763342969258112,0.736784054418348,-0.45826501489251736,-0.10032860224344674,1,0,1,0,1,0,0,False,False,False,False,False,False,False,False,False,False,True,0,361470
5.288385954424565,-0.3223346126323637,-0.039846582748932685,-0.17800559387876794,0.9297120010200434,-0.3788387002277253,-0.10032860224344674,1,0,1,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,1,357749
2.681148710259681,-0.12321215915810167,-0.1380588601743629,-0.1858772609773221,0.2993393696328193,-0.4632291595590669,-0.10032860224344674,1,0,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,1,345764
3.186178830858261,-0.2415821818783179,-0.09670528538680462,-0.048770124493563605,0.045635586372714566,-0.4681933042256164,-0.10032860224344674,1,0,1,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,0,321989
6.772970495292377,-0.3248424520967751,-0.17795451950966806,-0.17631965046927783,0.24492379495028987,0.35585471042160116,-0.10032860224344674,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,0,317878
3.9796188736050757,-0.11418393708622078,-0.22086451755030737,-0.182409953513862,0.05764941454937691,-0.4681933042256164,-0.10032860224344674,1,1,1,1,0,0,0,False,False,False,False,False,False,False,True,False,False,False,0,300212
1.2172542372136468,8.017234742321175,-0.1640452180327666,-0.08774409705323288,-0.47802598297474397,0.6735599690807693,-0.10032860224344674,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,0,272214
1.6592518256109936,-0.11869804812216123,-0.19434621756743292,-0.18480619104658721,0.7459710994946193,0.9366596364078931,-0.10032860224344674,0,0,1,0,1,0,0,False,False,False,False,False,False,False,True,False,False,False,0,244109
3.857788055640556,0.16970349028514525,0.174368480931449,0.33447081192880534,1.0286494095337333,-0.4681933042256164,-0.10032860224344674,1,0,1,0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,1,235600
0.21691351624904473,-0.35945063670565186,-0.09359243888064255,-0.17952428312490007,0.5071079275115681,-0.4632291595590669,-0.10032860224344674,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,1,229289
2.053999073075813,-0.24760099659290516,-0.21619524779106425,-0.18820005677806,0.025848104669976592,0.916803057741695,-0.10032860224344674,1,1,1,1,0,1,0,False,False,False,False,False,False,False,False,False,False,True,1,228148
2.4345038552493614,-0.0580083330834063,-0.15663743141050748,-0.17119909992954824,0.9820074883772795,0.6388109564149228,-0.10032860224344674,1,1,1,1,0,1,0,False,False,False,False,False,False,False,False,False,True,False,1,208881
3.6901503898473536,-0.16634699794597707,-0.1577604203399457,-0.18019169156522286,0.21665596394637848,-0.45826501489251736,-0.10032860224344674,1,1,1,1,1,1,0,False,False,False,False,False,False,False,True,False,False,False,1,200696
4.567505498364359,-0.12120588758657258,26.434893250599398,2.7922417946386786,1.4717476605200444,-0.4681933042256164,-0.10032860224344674,0,1,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,0,193942
2.1385877689611315,-0.1768799236965048,-0.2053593896999937,-0.18116358835422303,-0.21866863351385696,0.01829287309623493,-0.10032860224344674,1,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,0,191280
6.373219138400895,0.28707037721959694,3.325652730976582,0.43462335544702785,0.39474329927102025,-0.4681933042256164,-0.10032860224344674,1,1,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,1,190052
2.4240144720280874,-0.29675465009536783,-0.18987396340984564,-0.18036162608376288,0.9042709531165231,-0.4632291595590669,-0.10032860224344674,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,0,182103
4.113382567894715,-0.26565744073666697,-0.1529335380993779,-0.12615465895364172,-0.19110749828504334,0.887018189742398,-0.10032860224344674,1,1,1,1,1,0,0,False,False,False,False,False,False,False,False,False,False,True,0,180275
1.3852768345012076,-0.35242868620530005,-0.20620655678711378,-0.18749941193348016,0.7848393671249975,-0.4681933042256164,-0.10032860224344674,1,1,1,1,1,0,0,False,False,False,False,False,False,True,False,False,False,False,1,180116
1.6965901805637849,-0.11719334444351441,-0.07915119527927035,-0.18167714440709792,1.9932891425422095,-0.4533008702259679,-0.10032860224344674,1,1,1,1,0,1,0,False,False,False,False,False,False,True,False,False,False,False,1,178620
3.5871812151064084,-0.2606417618078442,-0.09524736993455149,-0.05627511900321754,-1.5034415526416296,-0.4681933042256164,-0.10032860224344674,1,0,1,1,0,0,0,False,False,False,False,False,False,False,True,False,False,False,1,175490
6.799723234150305,-0.09111181401363626,0.22580925452378567,-0.0506892588038894,1.4978954041986623,-0.4632291595590669,-0.10032860224344674,1,1,1,0,1,1,0,False,False,False,False,False,False,True,False,False,False,False,1,172329
2.3118069414225344,4.803689252624457,2.405432258762541,0.35420680320504955,0.4399718288772785,-0.4681933042256164,-0.10032860224344674,1,1,1,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,1,171825
1.9354401728133417,6.194537019586997,1.4323327990640757,-0.017937998834796035,0.5678837641699775,-0.4681933042256164,-0.10032860224344674,1,1,1,1,0,0,0,False,False,False,False,False,False,True,False,False,False,False,1,170345
0.20873372199392293,-0.3133063905604828,-0.20636416926843842,-0.18749780372037095,-0.28297794904775536,0.4402451697529427,-0.10032860224344674,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,0,169739
4.370709271873488,0.0026813819553486284,-0.21830331472878162,0.024318336680774037,-0.2024146306866079,-0.2001294922319432,-0.10032860224344674,1,1,1,1,0,0,0,False,False,False,False,False,True,False,False,False,False,False,0,166802
7.182345139542826,-0.11167609762180941,-0.15378070518649797,-0.18705018440497376,1.6837563930493797,-0.4681933042256164,-0.10032860224344674,0,0,1,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,1,166647
